,storenumber,lat,lon,address,zip
0,15034,37.515872,-77.451087,2128 Hull Street,23224-3636
1,13789,37.570431,-77.433233,2910 North Ave.,23222-3613
2,2754,37.5776,-77.3954,3820a Mechanicsville Tpke,23223-1114
3,9624,37.491927,-77.488824,5201 Hull Street Rd,23224-2423
4,9545,37.548623,-77.35558,5251 Nine Mile Rd,23223-3461
5,12648,37.479039,-77.443796,3301 Jefferson Davis Hwy,23234-2131
6,19320,37.60342,-77.452455,5258 Chamberlayne Rd,23227-2950
7,16527,37.603483,-77.425101,5210 Wilkinson Rd,23227
8,13122,37.468281,-77.46828,3903 Walmsley Blvd.,23234-2417
9,2737,37.5202,-77.3529,4750 Finlay St,23231-2856
10,3706,37.4984,-77.5409,7828 Midlothian Turnpike,23235-5228
11,13049,37.5368,-77.32,45 South Airport Dr,23075-2013
12,3210,37.6054,-77.3699,7528 Mechanicsville Tpke,23111-2144
13,9744,37.630629,-77.441598,1144 Wilkinson Rd,23227-1623
14,4148,37.4717,-77.5271,7218 Hull St Rd,23235-5833
15,15478,37.522,-77.3084,202 E. Williamsburg Road,23150-1637
16,20288,37.591151,-77.318322,6698 Cold Harbor Rd,23111-3245
17,13061,37.432863,-77.440211,6730 Jefferson Davis Hwy,23237-1219
18,17081,37.4531,-77.5134,6213 Belmont Rd,23832-8210
19,9977,37.627,-77.533,8057 W Broad St Ste C,23294-4219
20,6761,37.6506,-77.3992,9161 Atlee Rd Ste A,23116-2536
21,7005,37.426706,-77.492042,6501 Iron Bridge Pl,23234-5300
22,15266,37.4458,-77.3546,2536 New Market Road,23231-7011
23,16878,37.6663,-77.5068,10710 John Cussons Dr,23060-2031
24,22143,37.45092,-77.29905,7841 Turner Rd,23231
