,latitude,longitude,postalcode,uid,name
0,37.548455,-77.465045,23220-4521,1213803658,FAMILY DOLLAR #1715
1,37.570973,-77.432494,23222-3612,1213807639,FAMILY DOLLAR #4247
2,37.51955,-77.489596,23225-4434,1213811497,FAMILY DOLLAR #6679
3,37.602932,-77.449875,23227-2949,-180292856,FAMILY DOLLAR #12859
4,37.519726,-77.51257,23225-4142,1213816758,FAMILY DOLLAR #9051
5,37.585144,-77.426382,23222-2120,1213811399,FAMILY DOLLAR #6591
6,37.61525924,-77.49599808,23228,1463568437,FAMILY DOLLAR #12002
7,37.56924126,-77.41675,23222,1657146837,FAMILY DOLLAR #12045
8,37.51806825,-77.44727009,23224-3853,1213810715,FAMILY DOLLAR #6351
9,37.51275328,-77.45799,23224-3673,1329931502,FAMILY DOLLAR #11750
10,37.54016079,-77.41116122,23223-5241,1213810368,FAMILY DOLLAR #5701
11,37.5009577,-77.47799192,23224,-1948106357,FAMILY DOLLAR #12344
12,37.503565,-77.516558,23225-5610,1213804086,FAMILY DOLLAR #2076
13,37.576113,-77.395805,23223-1331,1213801808,FAMILY DOLLAR #330
14,37.487903,-77.497118,23224-2840,1213805151,FAMILY DOLLAR #2859
15,37.56364668,-77.37770306,23223,1213820814,FAMILY DOLLAR #11378
16,37.478612,-77.479983,23224,1213813980,FAMILY DOLLAR #7976
17,37.480588,-77.51292,23224-2636,1213810729,FAMILY DOLLAR #6360
18,37.515514,-77.393342,23231-3428,1213813048,FAMILY DOLLAR #7776
19,37.480348,-77.445062,23234,1213803198,FAMILY DOLLAR #1377
20,37.544304,-77.368776,23223-5741,1213816040,FAMILY DOLLAR #8100
21,37.519729,-77.367607,23231-2355,1213803761,FAMILY DOLLAR #1795
22,37.551556,-77.341983,23223-3537,1213801525,FAMILY DOLLAR #126
23,37.537228,-77.321996,23075-2014,1213814001,FAMILY DOLLAR #8231
24,37.423317,-77.438745,23237-4453,1213810157,FAMILY DOLLAR #6093
25,37.391106,-77.428283,23237-4618,1213801719,FAMILY DOLLAR #268
26,37.354099,-77.448851,23831-4233,1213806657,FAMILY DOLLAR #3656
